경찰청,경찰서,시간대,건수
서울특별시경찰청,서울도봉경찰서,2,18
서울특별시경찰청,서울은평경찰서,2,14
서울특별시경찰청,서울방배경찰서,2,23
서울특별시경찰청,서울수서경찰서,2,34
부산광역시경찰청,부산중부경찰서,2,18
부산광역시경찰청,부산동부경찰서,2,8
부산광역시경찰청,부산서부경찰서,2,6
부산광역시경찰청,부산남부경찰서,2,42
부산광역시경찰청,부산북부경찰서,2,36
부산광역시경찰청,부산동래경찰서,2,16
부산광역시경찰청,부산영도경찰서,2,16
부산광역시경찰청,부산해운대경찰서,2,37
부산광역시경찰청,부산진경찰서,2,51
부산광역시경찰청,부산금정경찰서,2,31
부산광역시경찰청,부산사하경찰서,2,25
부산광역시경찰청,부산연제경찰서,2,25
부산광역시경찰청,부산강서경찰서,2,29
부산광역시경찰청,부산사상경찰서,2,24
부산광역시경찰청,부산기장경찰서,2,27
경기도남부경찰청,경기도남부경찰청,2,1
경기도남부경찰청,수원중부경찰서,2,31
경기도남부경찰청,성남수정경찰서,2,29
경기도남부경찰청,평택경찰서,2,198
경기도남부경찰청,안성경찰서,2,36
경기도남부경찰청,안양동안경찰서,2,44
경기도남부경찰청,이천경찰서,2,37
경기도남부경찰청,광주경찰서,2,75
경기도남부경찰청,여주경찰서,2,28
경기도남부경찰청,용인동부경찰서,2,130
경기도남부경찰청,김포경찰서,2,82
경기도남부경찰청,양평경찰서,2,9
경기도남부경찰청,부천소사경찰서,2,14
경기도남부경찰청,오산경찰서,2,44
경기도남부경찰청,부천원미경찰서,2,116
경기도남부경찰청,광명경찰서,2,27
경기도남부경찰청,안산단원경찰서,2,87
경기도남부경찰청,과천경찰서,2,9
경기도남부경찰청,수원남부경찰서,2,94
경기도남부경찰청,군포경찰서,2,22
경기도남부경찰청,성남중원경찰서,2,25
경기도남부경찰청,분당경찰서,2,61
경기도남부경찰청,시흥경찰서,2,169
경기도남부경찰청,안산상록경찰서,2,72
경기도남부경찰청,수원서부경찰서,2,42
경기도남부경찰청,화성서부경찰서,2,72
경기도남부경찰청,의왕경찰서,2,18
경기도남부경찰청,하남경찰서,2,32
경기도남부경찰청,안양만안경찰서,2,26
경기도남부경찰청,부천오정경찰서,2,20
경기도남부경찰청,용인서부경찰서,2,44
경기도남부경찰청,화성동탄경찰서,2,89
강원특별자치도경찰청,춘천경찰서,2,32
강원특별자치도경찰청,강릉경찰서,2,38
강원특별자치도경찰청,원주경찰서,2,74
강원특별자치도경찰청,속초경찰서,2,44
강원특별자치도경찰청,삼척경찰서,2,7
강원특별자치도경찰청,영월경찰서,2,3
강원특별자치도경찰청,홍천경찰서,2,28
강원특별자치도경찰청,평창경찰서,2,9
강원특별자치도경찰청,화천경찰서,2,2
강원특별자치도경찰청,태백경찰서,2,6
강원특별자치도경찰청,정선경찰서,2,9
강원특별자치도경찰청,횡성경찰서,2,6
강원특별자치도경찰청,인제경찰서,2,2
강원특별자치도경찰청,강원고성경찰서,2,3
강원특별자치도경찰청,철원경찰서,2,5
강원특별자치도경찰청,양구경찰서,2,5
강원특별자치도경찰청,동해경찰서,2,18
충청북도경찰청,청주청원경찰서,2,63
충청북도경찰청,충주경찰서,2,49
충청북도경찰청,제천경찰서,2,30
충청북도경찰청,영동경찰서,2,3
충청북도경찰청,괴산경찰서,2,14
충청북도경찰청,보은경찰서,2,2
충청북도경찰청,음성경찰서,2,32
충청북도경찰청,옥천경찰서,2,3
충청북도경찰청,단양경찰서,2,6
충청북도경찰청,진천경찰서,2,18
충청북도경찰청,청주흥덕경찰서,2,84
충청북도경찰청,청주상당경찰서,2,45
충청남도경찰청,서산경찰서,2,37
충청남도경찰청,천안서북경찰서,2,105
충청남도경찰청,논산경찰서,2,24
충청남도경찰청,홍성경찰서,2,15
충청남도경찰청,아산경찰서,2,80
